Unnamed: 7	Mean_RSS	ABS_RSS
1.0	-0.1308104993	0.1308104993
1.0	0.0714290623	0.0714290623
1.0	-0.152569863	0.152569863
1.0	0.1404321742	0.1404321742
1.0	0.1706863328	0.1706863328
1.0	0.3559363048	0.3559363048
1.0	-1.6090852544	1.6090852544
1.0	0.8644424725	0.8644424725
1.0	-0.8075770494	0.8075770494
1.0	0.6101893887	0.6101893887
1.0	0.5024373234	0.5024373234
1.0	-0.2990708816	0.2990708816
1.0	0.46368837	0.46368837
1.0	-0.5145750122	0.5145750122
1.0	1.4722059108	1.4722059108
1.0	0.3559363048	0.3559363048
1.0	0.3171873514	0.3171873514
1.0	-2.0405780591	2.0405780591
1.0	-0.1913188164	0.1913188164
1.0	-0.5533239655	0.5533239655
1.0	-0.044817797699999995	0.044817797699999995
1.0	-0.5920729189	0.5920729189
1.0	-1.0230811799	1.0230811799
1.0	-0.6308218722	0.6308218722
1.0	2.0969589386000003	2.0969589386000003
1.0	0.27843839800000003	0.27843839800000003
1.0	0.7566904073	0.7566904073
1.0	-0.2990708816	0.2990708816
1.0	-0.0060688444	0.0060688444
1.0	2.5279671997	2.5279671997
1.0	-0.9928270214	0.9928270214
1.0	-0.5920729189	0.5920729189
1.0	0.7869445657999999	0.7869445657999999
1.0	-0.7953691267	0.7953691267
1.0	-0.152569863	0.152569863
1.0	0.7869445657999999	0.7869445657999999
