"contrast","estimate","SE","df","t.ratio","p.value"
"Large Gain - Small Gain",-0.00762918278381055,0.00596931077403726,180,-1.27806761494019,0.705018134634067
"Large Gain - Neutral",-0.0210400627054636,0.00596931077403725,180,-3.52470553166283,0.00482841572486581
"Large Gain - Small Loss",-0.0165214891886118,0.00596931077403725,180,-2.76773815504294,0.0484138626153461
"Large Gain - Large Loss",-0.000423958196486804,0.00596931077403725,180,-0.0710229727577186,0.999994185201161
"Small Gain - Neutral",-0.0134108799216531,0.00596931077403726,180,-2.24663791672264,0.167548340233002
"Small Gain - Small Loss",-0.00889230640480127,0.00596931077403726,180,-1.48967054010275,0.570529516554333
"Small Gain - Large Loss",0.00720522458732375,0.00596931077403726,180,1.20704464218247,0.747317143875456
"Neutral - Small Loss",0.00451857351685179,0.00596931077403725,180,0.756967376619884,0.942413523451378
"Neutral - Large Loss",0.0206161045089768,0.00596931077403725,180,3.45368255890511,0.00613415956445607
"Small Loss - Large Loss",0.016097530992125,0.00596931077403725,180,2.69671518228522,0.0583588676694773
